Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2025-05;PARIS-AUSTERLITZ;BRIANÇON;26;26;0;9;65.38461538461539;1.8888888888888888
2025-05;PARIS-AUSTERLITZ;NICE-VILLE;30;30;0;8;73.33333333333333;2.75
2025-05;PARIS-BERCY;CLERMONT-FERRAND;221;221;0;23;89.59276018099548;8.608695652173912
2025-05;BORDEAUX-ST-JEAN;NANTES;124;124;0;11;91.12903225806453;10.272727272727272
2025-05;TOULOUSE-MATABIAU;HENDAYE;114;114;0;19;83.33333333333334;5.0
2025-05;BORDEAUX-ST-JEAN;MARSEILLE-ST-CHARLES;164;160;4;36;77.5;3.4444444444444446
2025-05;CAHORS/BRIVE;PARIS-AUSTERLITZ;159;159;0;16;89.937106918239;8.9375
2025-05;NANCY;LYON;26;26;0;2;92.3076923076923;12.0
2025-05;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;20;19;1;2;89.47368421052632;8.5
2025-05;NANTES;LYON;78;78;0;11;85.8974358974359;6.090909090909091
2025-05;MARSEILLE-ST-CHARLES;BORDEAUX-ST-JEAN;165;161;4;43;73.29192546583852;2.744186046511628
2025-05;PARIS-AUSTERLITZ;BRIVE/CAHORS;150;150;0;14;90.66666666666666;9.714285714285714
2025-05;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;71;70;1;15;78.57142857142857;3.6666666666666665
2025-05;ALBI/RODEZ;PARIS-AUSTERLITZ;24;24;0;5;79.16666666666666;3.8
2025-05;LATOUR-DE-CAROL;PARIS-AUSTERLITZ;6;6;0;0;100.0;0.0
2025-05;PARIS-AUSTERLITZ;CERBERE;8;8;0;1;87.5;7.0
2025-05;BRIANÇON;PARIS-AUSTERLITZ;26;26;0;8;69.23076923076923;2.25
2025-05;CLERMONT-FERRAND;PARIS-BERCY;221;220;1;21;90.45454545454544;9.476190476190476
2025-05;NANTES;BORDEAUX-ST-JEAN;123;122;1;20;83.60655737704919;5.1
2025-05;HENDAYE;TOULOUSE-MATABIAU;124;124;0;32;74.19354838709677;2.875
2025-05;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;74;74;0;11;85.13513513513513;5.727272727272728
2025-05;LYON;NANCY;26;26;0;4;84.61538461538461;5.5
2025-05;PARIS-AUSTERLITZ;RODEZ/ALBI;25;25;0;2;92.0;11.5
2025-05;AURILLAC;PARIS-AUSTERLITZ;10;10;0;1;90.0;9.0
2025-05;PARIS-AUSTERLITZ;TARBES;18;18;0;1;94.44444444444444;17.0
2025-05;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;6;6;0;0;100.0;0.0
2025-05;NICE-VILLE;PARIS-AUSTERLITZ;30;30;0;9;70.0;2.333333333333333
2025-04;LYON;NANTES;82;82;0;12;85.36585365853658;5.833333333333333
2025-04;NANCY;LYON;30;30;0;0;100.0;0.0
2025-04;LYON;NANCY;30;30;0;1;96.66666666666669;29.0
2025-04;PARIS-AUSTERLITZ;TARBES;19;19;0;1;94.73684210526316;18.0
2025-04;PARIS-AUSTERLITZ;BRIANÇON;26;26;0;8;69.23076923076923;2.25
2025-04;NANTES;LYON;84;83;1;5;93.97590361445783;15.6
2025-04;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;22;22;0;2;90.9090909090909;10.0
2025-04;PARIS-AUSTERLITZ;AURILLAC;20;20;0;2;90.0;9.0
2025-04;PARIS-AUSTERLITZ;CERBERE;15;15;0;1;93.33333333333331;14.0
2025-04;CLERMONT-FERRAND;PARIS-BERCY;215;214;1;29;86.44859813084112;6.379310344827586
2025-04;BÉZIERS;CLERMONT-FERRAND;30;30;0;0;100.0;0.0
2025-04;CLERMONT-FERRAND;BÉZIERS;30;30;0;2;93.33333333333331;14.0
2025-04;BORDEAUX-ST-JEAN;MARSEILLE-ST-CHARLES;196;196;0;60;69.38775510204081;2.2666666666666666
2025-04;PARIS-AUSTERLITZ;BRIVE/CAHORS;180;180;0;21;88.33333333333333;7.571428571428571
2025-04;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;80;80;0;16;80.0;4.0
2025-04;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;79;78;1;10;87.17948717948718;6.8
2025-04;PARIS-AUSTERLITZ;RODEZ/ALBI;28;28;0;0;100.0;0.0
2025-04;TARBES;PARIS-AUSTERLITZ;19;19;0;1;94.73684210526316;18.0
2025-04;BRIANÇON;PARIS-AUSTERLITZ;26;26;0;9;65.38461538461539;1.8888888888888888
2025-04;PARIS-BERCY;CLERMONT-FERRAND;216;214;2;26;87.85046728971963;7.230769230769231
2025-04;BORDEAUX-ST-JEAN;NANTES;120;120;0;11;90.83333333333331;9.909090909090908
2025-04;HENDAYE;TOULOUSE-MATABIAU;120;119;1;6;94.9579831932773;18.83333333333333
2025-04;MARSEILLE-ST-CHARLES;BORDEAUX-ST-JEAN;189;187;2;48;74.33155080213903;2.895833333333333
2025-04;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;22;22;0;2;90.9090909090909;10.0
2025-04;ALBI/RODEZ;PARIS-AUSTERLITZ;28;28;0;8;71.42857142857143;2.5
2025-04;AURILLAC;PARIS-AUSTERLITZ;20;20;0;6;70.0;2.333333333333333
2025-04;NICE-VILLE;PARIS-AUSTERLITZ;28;28;0;10;64.28571428571429;1.8
2025-04;NANTES;BORDEAUX-ST-JEAN;120;119;1;18;84.87394957983193;5.611111111111111
